_type,_id,_revision,_page.next,gr_gyv_id,gyv_pav,gyventoju_sk,taskas_wgs
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,8e689b53-3d76-40ba-a876-68f0da74b50d,af83b724-6573-41e3-8baf-4636b3ed8af7,,10020,Ežerėlių k.,24,POINT (54.22495926 23.64176638)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,24aded84-f0f3-45f1-ba91-f7c574899936,54a96327-21fb-4f66-a696-9374dc99d1c7,,10021,Janėnų k.,108,POINT (54.24356007 23.69748351)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,5ae36283-c4d7-4f91-8ed0-ab507a9717f5,0aedc120-e973-4bee-80d9-b75f68faf263,,10022,Mikyčių k.,149,POINT (54.20274724 23.6395326)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,c31cb779-6a1c-4b48-8c68-585d5f81185c,3e93ae81-156d-480c-b4b7-180f5284539f,,10023,Prapuntų k.,20,POINT (54.20376121 23.6906746)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,0f608e2d-0de3-4b52-8c78-b9ca0567951a,b5849d2e-ef96-4520-8be3-e2828ea423cd,,10028,Šventežerio mstl.,262,POINT (54.24038385 23.64369552)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,41b8ae36-eb85-4127-a046-0559ce6150a2,2ed3924d-2835-445d-a355-c55f44611b48,,10029,Žališkės k.,11,POINT (54.2218658 23.70442747)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,44d9b923-a225-4ea3-b161-bffe75b6b3ea,eecb9ef3-ff11-44a6-b9e6-df7f53445948,,1003,Šventupio k.,23,POINT (55.61508062 25.43102223)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,b68ec784-7450-454a-a098-6974002c1f7a,66fc5ba0-2d83-45b6-b9bd-f389ebdd9de4,,10030,Akuočių k.,34,POINT (54.25904927 23.78570884)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,65ccbd9a-59ef-41de-a096-13b3a89fe361,acabbab7-4cbd-41b3-8cd4-69672944692e,,10031,Aleksiejiškės k.,3,POINT (54.15577485 23.68078107)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,73903510-c1ba-44b5-a330-72f15b44e2f3,0e3edfa1-004e-47eb-a681-28abd836fc98,,10032,Avižienių k.,197,POINT (54.17503021 23.73079504)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,cb4ba33d-4746-4d36-b335-257c1968eb90,ada61f94-949b-4eb2-85b5-056e8682160c,,10033,Babrų k.,71,POINT (54.15296439 23.70700955)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,a99c1cc9-3ee8-48d6-b2ae-0056f6bd853a,4231c129-e6c9-4703-a9e8-539136e0769f,,10034,Bagdononių k.,75,POINT (54.218134 23.72774273)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,b688218e-6c20-402c-b9ed-fab14031ed0a,87ed3f07-9b95-4bcf-9bb2-63646e30adf3,,10036,Buteliūnų k.,33,POINT (54.18713033 23.69377112)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,5585b67c-9894-4208-a32e-cc3d8de230e9,636b6aa8-a6c6-473f-a623-b5cb45c304f3,,10037,Demeniškių k.,22,POINT (54.17871261 23.75925694)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,544562c6-ca7e-489f-a8f3-0dd91b1aefa9,dbf8b380-6b8b-4cf5-a323-24e6efc701de,,10038,Gegutės k.,30,POINT (54.16701585 23.63984253)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,520743b4-8fef-46b2-9275-6d003e59c7dd,227601c9-2162-48de-9490-da2fb1280108,,10039,Graužų k.,4,POINT (54.26560608 23.73106304)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,5dbc77d3-3b33-4b18-be19-61725b9ffeff,cf68ff03-b11d-465a-acca-e8348e15d16a,,1004,Tilvikų k.,1,POINT (55.53965293 25.28019103)
